CmId,CmCatg,CmCode,CmCodeDesc,DispOrder,Disabled,CreateDT,CreateUser,LastUpdateDT,LastUpdateUser
1,00,YES_NO,DropDownList values for Yes-No,10,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
2,00,USER_ROLE,User Role,20,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
3,00,FILTER_STAT,Filter for Status,30,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
4,00,MONTHS,Name Of Months,40,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
5,00,SEX,Sex,50,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
6,00,ACCESS_LEVEL,Access Level,60,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
7,ACCESS_LEVEL,READ,Read,10,True,2013-08-06 12:00:00,eulee,2014-12-10 14:10:48.543000000,eulee
8,ACCESS_LEVEL,WRITE,Write,20,True,2013-08-06 12:00:00,eulee,2014-12-10 14:10:54.457000000,eulee
9,FILTER_STAT,A,Active,10,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
10,FILTER_STAT,D,Disabled,20,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
11,FILTER_STAT,ALL,All,900,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
12,MONTHS,1,January,1,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
13,MONTHS,2,February,2,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
14,MONTHS,3,March,3,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
15,MONTHS,4,April,4,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
16,MONTHS,5,May,5,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
17,MONTHS,6,June,6,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
18,MONTHS,7,July,7,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
19,MONTHS,8,August,8,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
20,MONTHS,9,September,9,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
21,MONTHS,10,October,10,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
22,MONTHS,11,November,11,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
23,MONTHS,12,December,12,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
24,SEX,M,Male,10,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
25,SEX,F,Female,20,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
26,SEX,UNK,Unknown,90,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
29,YES_NO,Y,Yes,10,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
30,YES_NO,N,No,20,False,2013-08-06 12:00:00,eulee,2013-08-06 12:00:00,eulee
48,00,RCP_GRP_TYPE,Recipient Group Type,1040,False,2014-12-10 09:53:23.100000000,eulee,2015-10-05 10:07:33.450000000,suwilki
49,RCP_GRP_TYPE,IND,Individuals,10,False,2014-12-10 09:55:07.900000000,eulee,2014-12-10 09:55:07.900000000,eulee
50,RCP_GRP_TYPE,ATTRIB,Attributes (Organization/Class),20,False,2014-12-10 09:55:46.980000000,eulee,2014-12-15 12:25:05.910000000,eulee
51,00,SHARE_TYPE,Share Type,1050,False,2014-12-10 09:57:24.357000000,eulee,2014-12-10 09:57:24.357000000,eulee
52,SHARE_TYPE,PRI,Private,10,False,2014-12-10 12:37:06.413000000,eulee,2014-12-10 12:37:06.413000000,eulee
53,SHARE_TYPE,PUB,Public,50,False,2014-12-10 12:38:41.387000000,eulee,2014-12-10 12:38:41.387000000,eulee
54,SHARE_TYPE,DEPT,Department,20,False,2014-12-10 12:39:04.710000000,eulee,2014-12-10 12:39:04.710000000,eulee
55,ACCESS_LEVEL,DA,Department Admin,110,False,2014-12-10 14:11:24.703000000,eulee,2014-12-10 14:11:24.703000000,eulee
56,00,REL_STAT,Release Status,1020,False,2014-12-23 08:27:10.760000000,eulee,2015-05-06 12:07:19.357000000,eulee
57,REL_STAT,PREP,Prepare,10,False,2014-12-23 08:29:44.790000000,eulee,2014-12-23 08:29:44.790000000,eulee
58,REL_STAT,REL,Released,30,False,2014-12-23 08:30:07.280000000,eulee,2015-01-08 10:45:20.283000000,eulee
59,REL_STAT,CANC,Canceled,900,False,2014-12-23 08:31:09.857000000,eulee,2014-12-23 08:31:09.857000000,eulee
60,REL_STAT,COMP,Complete,800,False,2014-12-23 08:31:26.243000000,eulee,2015-01-08 10:44:59.753000000,eulee
62,REL_STAT,RDY,Ready,20,False,2015-01-08 10:45:55.617000000,eulee,2015-01-08 10:45:55.617000000,eulee
79,00,FREQ,Frequency,1010,False,2015-05-06 12:04:04.070000000,eulee,2015-05-06 12:04:04.070000000,eulee
80,FREQ,ONE_TIME,One Time,10,False,2015-05-06 12:04:44.823000000,eulee,2015-05-06 12:04:44.823000000,eulee
81,FREQ,ANNUAL,Annual,20,False,2015-05-06 12:05:04.160000000,eulee,2015-05-06 12:05:04.160000000,eulee
82,FREQ,SEMI_ANNUAL,Semi-Annual,30,False,2015-05-06 12:05:27.157000000,eulee,2015-05-06 12:05:27.157000000,eulee
83,FREQ,QUARTERLY,Quarterly,40,False,2015-05-06 12:05:48.740000000,eulee,2015-05-06 12:05:48.740000000,eulee
84,00,NOTICE_TYPE,Notice Type,1060,False,2015-05-06 12:08:08.980000000,eulee,2015-05-06 12:08:08.980000000,eulee
85,NOTICE_TYPE,RELEASE,Release,10,False,2015-05-06 12:08:36.353000000,eulee,2015-05-06 12:08:36.353000000,eulee
86,NOTICE_TYPE,REMINDER,Reminder,20,False,2015-05-06 12:09:07.073000000,eulee,2015-05-06 12:09:07.073000000,eulee
88,NOTICE_TYPE,DEADLINE,Deadline,30,False,2015-05-06 12:11:17.443000000,eulee,2015-05-06 12:11:17.443000000,eulee
89,00,RECIP_EXCEPTION,Recipient Exception,1070,False,2015-05-06 12:12:04.337000000,eulee,2015-05-06 12:12:04.337000000,eulee
90,RECIP_EXCEPTION,ADM_LV,Administrative Leave,10,False,2015-05-06 12:16:29.017000000,eulee,2015-05-06 12:16:29.017000000,eulee
91,RECIP_EXCEPTION,LV_ABS,Leave of Absense,20,False,2015-05-06 12:20:24.497000000,eulee,2015-05-06 12:20:24.497000000,eulee
92,RECIP_EXCEPTION,MIL_LV,Military Leave,30,False,2015-05-06 12:50:01.917000000,eulee,2015-05-06 12:50:01.917000000,eulee
93,RECIP_EXCEPTION,OTH,Other,990,False,2015-05-06 13:49:28.753000000,eulee,2015-05-06 13:49:28.753000000,eulee
94,USER_ROLE,SA,System Admin,10,False,2015-09-28 14:32:05.503000000,eulee,2015-09-28 14:54:40.493000000,eulee
95,USER_ROLE,PA,Policy Admin,20,False,2015-09-28 14:55:10.320000000,eulee,2015-11-11 14:00:08.783000000,eulee
96,USER_ROLE,OA,Organization Admin,30,False,2015-09-28 14:55:29.460000000,eulee,2015-11-11 14:00:15.967000000,eulee
97,NOTICE_TYPE,OVERDUE,Overdue,40,False,2016-06-10 08:48:00.250000000,eulee,2016-06-10 08:48:00.250000000,eulee
